total_laid_off,percentage_laid_off,funds_raised,industry_encoded,stage_encoded,actual,lr_pred,rf_pred
700.0,0.01,65.0,11,0,1,1,0
2000.0,0.25,97.0,9,0,0,1,0
1072.0,0.26,4900.0,12,0,0,1,0
100.0,0.07,3300.0,13,0,1,1,0
784.0,0.13,1900.0,3,0,0,1,1
200.0,0.04,1300.0,8,0,1,1,1
101.0,0.07,614.0,8,0,1,1,1
14000.0,0.01,8100.0,10,0,1,1,0
200.0,0.01,10700.0,12,0,0,1,1
50.0,0.07,26.0,0,0,1,1,1
870.0,0.05,1700.0,10,0,0,1,1
90.0,0.07,65.0,11,0,1,1,0
3900.0,0.02,614.0,5,0,0,1,0
262.0,0.07,65.0,11,0,0,1,1
1900.0,0.07,1.0,8,0,1,1,0
1500.0,0.02,26000.0,0,0,0,1,0
500.0,0.1,4900.0,0,0,0,1,1
5000.0,0.07,12.0,5,0,1,1,1
150.0,0.07,108.0,10,0,0,1,1
8000.0,0.1,65.0,11,0,1,1,0
950.0,0.2,549.0,1,0,1,1,1
9000.0,0.04,1.0,8,0,1,1,1
200.0,0.07,26.0,0,0,1,1,1
2500.0,0.09,216.0,2,0,0,1,0
1500.0,0.08,3300.0,13,0,1,1,0
60.0,0.02,4900.0,12,0,1,1,1
6000.0,0.03,1.0,8,0,1,1,1
75.0,0.07,26.0,0,0,1,1,1
284.0,0.03,1300.0,8,0,1,1,1
1000.0,0.01,65.0,11,0,0,1,0
350.0,0.07,2.0,6,0,0,1,1
